"level,""en"",""ja"",""ex"",""sEn"",""sJa"""
"600,""Attribute"",""起因すると考える"",""「AはBのおかげだ」という意味合いで使う。"",""He attributed his success to hard work."",""彼は成功を努力の賜物だと考えました。"""
"600,""Authorize"",""認可する、権限を与える"",""公式に許可を出すこと。"",""I am not authorized to do this."",""私にはこれを行う権限がありません。"""
"600,""Calculate"",""計算する"",""数値や費用などを算出すること。"",""Please calculate the total cost."",""総費用を計算してください。"""
"600,""Celebrate"",""祝う"",""記念日や成功を祝うこと。"",""We will celebrate our 10th anniversary."",""私たちは10周年を祝います。"""
"600,""Compensate"",""補償する"",""損失などを金銭で埋め合わせること。"",""The company will compensate for the loss."",""会社は損失を補償します。"""
"600,""Complicate"",""複雑にする"",""物事を難しく、ややこしくすること。"",""Please do not complicate the matter."",""問題を複雑にしないでください。"""
"600,""Concentrate"",""集中する"",""注意や努力を一つのことに向けること。"",""I need to concentrate on my work."",""仕事に集中する必要があります。"""
"600,""Conclude"",""結論づける、終える"",""会議や調査などを終わりにすること。"",""The meeting concluded at 5 PM."",""会議は午後5時に終了しました。"""
"600,""Conduct"",""実施する、案内する"",""調査やツアーなどを執り行うこと。"",""We will conduct a customer survey."",""顧客アンケートを実施します。"""
"600,""Congratulate"",""祝う、お祝いを言う"",""人の成功や昇進などを祝うこと。"",""I congratulate you on your promotion."",""昇進おめでとうございます。"""
"600,""Consume"",""消費する"",""時間やエネルギー、資源などを使うこと。"",""This car consumes a lot of gas."",""この車は多くのガソリンを消費します。"""
"600,""Contribute"",""貢献する、寄付する"",""目標や組織に対して役立つことをする。"",""He contributed to the team's success."",""彼はチームの成功に貢献しました。"""
"600,""Convey"",""伝える"",""メッセージや感情を人に知らせること。"",""Please convey my thanks to him."",""彼に私の感謝を伝えてください。"""
"600,""Coordinate"",""調整する、まとめる"",""複数の人や計画をうまくかみ合わせること。"",""She will coordinate the event."",""彼女がイベントを調整します。"""
"600,""Dedicate"",""捧げる、専念する"",""時間や労力を特定の目的に注ぐこと。"",""He dedicated his life to science."",""彼は科学に人生を捧げました。"""
"600,""Deduct"",""差し引く"",""給料や総額から一定の金額を引くこと。"",""Taxes will be deducted from your pay."",""税金が給料から差し引かれます。"""
"600,""Demonstrate"",""実演する、証明する"",""製品の使い方の説明や、証拠を示すこと。"",""Let me demonstrate how it works."",""どのように機能するか実演させてください。"""
"600,""Depart"",""出発する"",""飛行機や電車が目的地に向けて出ること。"",""The train departs at 8:00."",""列車は8時に出発します。"""
"600,""Deserve"",""値する"",""賞賛や罰を受けるにふさわしいこと。"",""You deserve a long vacation."",""あなたは長い休暇に値します。"""
"600,""Detect"",""見つける、感知する"",""見えにくいものや問題を発見すること。"",""The alarm detects smoke."",""その警報器は煙を感知します。"""
"600,""Diagnose"",""診断する"",""病気や問題の原因を突き止めること。"",""The software diagnosed the error."",""ソフトウェアがエラーを診断しました。"""
"600,""Discard"",""捨てる、廃棄する"",""不要になったものを処分すること。"",""Please discard the old files."",""古いファイルを廃棄してください。"""
"600,""Disclose"",""公開する、明らかにする"",""秘密や情報を他人に教えること。"",""They refused to disclose the details."",""彼らは詳細を公開することを拒否しました。"""
"600,""Dispatch"",""派遣する、発送する"",""人や荷物を特定の場所に送ること。"",""A technician will be dispatched tomorrow."",""技術者が明日派遣されます。"""
"600,""Distinguish"",""区別する"",""違いを見分けること。"",""It is hard to distinguish the two."",""その2つを区別するのは難しいです。"""
"600,""Donate"",""寄付する"",""慈善団体などにお金や物を送ること。"",""We donated books to the library."",""私たちは図書館に本を寄付しました。"""
"600,""Eliminate"",""排除する、取り除く"",""問題や不要なものを完全になくすこと。"",""We must eliminate unnecessary costs."",""不要なコストを排除しなければなりません。"""
"600,""Emerge"",""現れる、浮上する"",""隠れていたものが見え始めること。"",""A new problem has emerged."",""新しい問題が現れました。"""
"600,""Encounter"",""遭遇する"",""思いがけず人や問題に出くわすこと。"",""We encountered a technical issue."",""私たちは技術的な問題に遭遇しました。"""
"600,""Encourage"",""奨励する、励ます"",""人に自信を持たせたり、何かを促すこと。"",""We encourage employees to exercise."",""私たちは従業員に運動を奨励しています。"""
"600,""Enforce"",""施行する、守らせる"",""法律や規則を人々に従わせること。"",""The police enforce the traffic laws."",""警察は交通法規を施行します。"""
"600,""Enhance"",""高める、向上させる"",""品質や価値をさらに良くすること。"",""The new feature enhances usability."",""新機能が使いやすさを高めます。"""
"600,""Enroll"",""登録する、入会する"",""学校やコースに申し込んで入ること。"",""I want to enroll in the English course."",""英語のコースに登録したいです。"""
"600,""Equip"",""備え付ける"",""必要な設備や知識を与えること。"",""The room is equipped with a projector."",""その部屋にはプロジェクターが備わっています。"""
"600,""Examine"",""調査する、診察する"",""詳細に調べること。"",""The doctor examined the patient."",""医者は患者を診察しました。"""
"600,""Execute"",""実行する"",""計画や命令を実際に行うこと。"",""We must execute the plan carefully."",""計画を慎重に実行しなければなりません。"""
"600,""Advance"",""前進、事前の"",""進歩することや、前もって行われること。"",""Thanks in advance for your help."",""ご協力のほど、前もって感謝いたします。"""
"600,""Agreement"",""同意、契約"",""意見が一致することや、契約書。"",""We signed an agreement yesterday."",""昨日、契約書にサインしました。"""
"600,""Analysis"",""分析"",""データを詳細に調べること。"",""He presented his data analysis."",""彼はデータ分析を発表しました。"""
"600,""Application"",""申し込み、応募"",""仕事への応募や、書類の提出。"",""Please send your application by email."",""申し込みはメールで送ってください。"""
"600,""Approach"",""接近する、取り組み"",""近づくことや、問題に対するやり方。"",""We need a new approach to this problem."",""この問題には新しい取り組みが必要です。"""
"600,""Arrangement"",""手配、配置"",""準備やスケジュールの取り決め。"",""I made arrangements for the trip."",""旅行の手配をしました。"""
"600,""Assistant"",""助手、アシスタント"",""業務を補佐する人。"",""She is the assistant manager."",""彼女はアシスタントマネージャーです。"""
"600,""Audience"",""聴衆、観客"",""講演や劇などを見聞きする人々。"",""The audience applauded loudly."",""観客は大きな拍手を送りました。"""
"600,""Benefit"",""利益、恩恵"",""福利厚生や、役立つこと。"",""This policy offers many benefits."",""この制度には多くの利点があります。"""
"600,""Campaign"",""キャンペーン、運動"",""宣伝活動や政治的な運動。"",""We started a new marketing campaign."",""新しいマーケティングキャンペーンを始めました。"""
"600,""Category"",""範疇、カテゴリー"",""種類やグループ分けのこと。"",""Please select a product category."",""製品カテゴリーを選択してください。"""
"600,""Certificate"",""証明書"",""資格や終了を証明する公式な文書。"",""He received a certificate of completion."",""彼は修了証書を受け取りました。"""
"600,""Commercial"",""商業の、コマーシャル"",""ビジネスに関する、またはテレビ広告。"",""The district is mainly commercial."",""その地区は主に商業地です。"""
"600,""Committee"",""委員会"",""特定の目的のために選ばれた人々の集まり。"",""The committee meets every Tuesday."",""委員会は毎週火曜日に開かれます。"""
"600,""Competition"",""競争、競技会"",""他社と競い合うこと。"",""There is fierce competition in the market."",""市場には激しい競争があります。"""
"600,""Complaint"",""苦情、クレーム"",""不満を述べること。"",""We received a complaint from a customer."",""顧客から苦情を受けました。"""
"600,""Complex"",""複雑な、複合施設"",""多くの部分から成り立っている様子。"",""This is a very complex issue."",""これは非常に複雑な問題です。"""
"600,""Conference"",""会議、協議会"",""meetingよりも公式で大規模な会議。"",""I will attend a conference in London."",""ロンドンでの会議に出席します。"""
"600,""Construction"",""建設、工事"",""建物などを造ること。"",""The building is under construction."",""その建物は建設中です。"""
"600,""Consultant"",""コンサルタント、顧問"",""専門的な助言を与える人。"",""We hired an IT consultant."",""ITコンサルタントを雇いました。"""
"600,""Consumer"",""消費者"",""商品やサービスを利用する人。"",""Consumer spending has increased."",""個人消費（消費者支出）が増加しました。"""
"600,""Contract"",""契約、契約書"",""法的な効力を持つ合意。"",""Please sign the contract."",""契約書にサインしてください。"""
"600,""Convenient"",""便利な"",""都合が良い、使いやすい様子。"",""The hotel is in a convenient location."",""ホテルは便利な場所にあります。"""
"600,""Corporate"",""企業の、法人の"",""会社全体に関わること。"",""We must improve our corporate image."",""企業イメージを向上させなければなりません。"""
"600,""Currently"",""現在"",""今のところ、現時点では。"",""She is currently working in Paris."",""彼女は現在パリで働いています。"""
"600,""Deadline"",""締め切り"",""提出や完成の最終期限。"",""The deadline is next Friday."",""締め切りは次の金曜日です。"""
"600,""Decade"",""10年間"",""10年の区切り。"",""He has lived here for a decade."",""彼はここに10年間住んでいます。"""
"600,""Destination"",""目的地"",""旅行や荷物の行き先。"",""We have reached our destination."",""目的地に到着しました。"""
"600,""Demand"",""需要、要求する"",""商品などを求める声。"",""There is a high demand for new cars."",""新車の高い需要があります。"""
"600,""Insurance"",""保険"",""事故や病気に備えるもの。"",""Do you have travel insurance?"",""旅行保険に入っていますか？"""
"600,""Development"",""開発、発展"",""新しいものを作り出すこと。"",""Research and development are important."",""研究開発は重要です。"""
"600,""Direct"",""直接の、指示する"",""間に何も挟まないこと。"",""There is a direct flight to New York."",""ニューヨークへの直行便があります。"""
"600,""Instrument"",""器具、楽器"",""精密な道具や音楽を奏でるもの。"",""This is a precision instrument."",""これは精密機器です。"""
"600,""Efficient"",""効率的な"",""無駄なく仕事ができる様子。"",""We need a more efficient system."",""より効率的なシステムが必要です。"""
"600,""Effort"",""努力"",""目的を達成するために力を尽くすこと。"",""He made a great effort to succeed."",""彼は成功するために多大な努力をしました。"""
"600,""Electronic"",""電子の"",""コンピュータなどを用いた。"",""I bought an electronic dictionary."",""電子辞書を買いました。"""
"600,""Employment"",""雇用、就職"",""人を雇うこと、または雇われている状態。"",""He is looking for employment."",""彼は働き口を探しています。"""
"600,""Essential"",""不可欠な、重要な"",""絶対に必要であること。"",""Experience is essential for this job."",""この仕事には経験が不可欠です。"""
"600,""Evidence"",""証拠"",""事実を証明するもの。"",""There is no evidence to support his claim."",""彼の主張を裏付ける証拠はありません。"""
"600,""Exactly"",""正確に、その通り"",""少しの狂いもない様子。"",""That is exactly what I mean."",""それはまさに私が言いたいことです。"""
"600,""Exception"",""例外"",""一般的なルールに当てはまらないもの。"",""There are no exceptions to this rule."",""この規則に例外はありません。"""
"600,""Executive"",""役員、重役"",""会社の経営層。"",""She is an executive of the company."",""彼女はその会社の役員です。"""
"600,""Expectation"",""期待"",""こうなるだろうという見込み。"",""The results exceeded our expectations."",""結果は私たちの期待を上回りました。"""
"600,""Experiment"",""実験"",""仮説を確かめるためのテスト。"",""They conducted an experiment."",""彼らは実験を行いました。"""
"600,""Factor"",""要因、要素"",""結果に影響を与える原因の一つ。"",""Cost was a major factor in the decision."",""費用が決定の大きな要因でした。"""
"600,""Financial"",""財務の、金融の"",""お金の管理に関する。"",""He is in financial difficulty."",""彼は財政的な困難に直面しています。"""
"600,""Former"",""前の、以前の"",""過去の役職などを表す。"",""He is the former president of the company."",""彼はその会社の元社長です。"""
"600,""Frequent"",""頻繁な"",""しばしば起こる様子。"",""He is a frequent traveler to Asia."",""彼はアジアを頻繁に訪れる旅行者です。"""
"600,""Gather"",""集める、集まる"",""人や情報を一つにまとめること。"",""We gathered a lot of information."",""多くの情報を集めました。"""
"600,""Generate"",""生み出す、発生させる"",""利益や電気などを作ること。"",""The project will generate new jobs."",""そのプロジェクトは新たな雇用を生み出します。"""
"600,""Growth"",""成長、増加"",""経済や企業が大きくなること。"",""The company showed strong growth last year."",""その会社は昨年力強い成長を見せました。"""
"600,""Identify"",""特定する"",""誰（何）であるかを確認すること。"",""Please identify yourself."",""身分を証明してください。"""
"600,""Immediately"",""すぐに"",""遅れることなく直ちに。"",""You must leave immediately."",""すぐに出発しなければなりません。"""
"600,""Impact"",""影響、衝撃"",""強い影響力のこと。"",""The new law will have a big impact."",""新しい法律は大きな影響を与えるでしょう。"""
"600,""Involve"",""巻き込む、関与する"",""活動などに人を参加させること。"",""Many people were involved in the project."",""多くの人がそのプロジェクトに関与しました。"""
"600,""Improvement"",""改善、向上"",""より良い状態になること。"",""There is room for improvement."",""改善の余地があります。"""
"600,""Income"",""収入、所得"",""働いて得たお金。"",""His annual income is high."",""彼の年収は高いです。"""
"600,""Independent"",""独立した"",""他に頼らず自立している様子。"",""She works as an independent consultant."",""彼女は独立したコンサルタントとして働いています。"""
"600,""Individual"",""個人の、個々の"",""集団に対する個人。"",""We respect individual differences."",""私たちは個人の違いを尊重します。"""
"600,""Influence"",""影響、影響を及ぼす"",""人や事柄に対する力。"",""He has a lot of influence in the industry."",""彼は業界で大きな影響力を持っています。"""
"600,""Initial"",""最初の、初期の"",""一番初めの段階の。"",""My initial reaction was surprise."",""私の最初の反応は驚きでした。"""
"600,""Investment"",""投資"",""将来の利益のためにお金などを投入すること。"",""Buying a house is a good investment."",""家を買うことは良い投資です。"""
"800,""Acquisition"",""買収、獲得"",""M&Aなどで使われるビジネス用語。"",""The acquisition of the startup was finalized."",""スタートアップの買収が完了しました。"""
"800,""Incentive"",""動機、報奨金"",""やる気を出すための特典。"",""They offer a financial incentive."",""彼らは金銭的な報奨金を提供しています。"""
"800,""Substantial"",""相当な"",""量や価値が非常に大きいこと。"",""The team made substantial progress."",""チームは相当な進歩を遂げました。"""
"800,""Comply"",""遵守する"",""規則や法律を守ること。"",""All products must comply with regulations."",""全製品が規制を遵守する必要があります。"""
"800,""Delegate"",""委任する"",""部下などに仕事を任せること。"",""Managers need to delegate tasks."",""マネージャーはタスクを委任する必要があります。"""
"800,""Innovative"",""革新的な"",""新しくて画期的なアイデア。"",""An innovative approach to marketing."",""マーケティングへの革新的なアプローチ。"""
"800,""Mandatory"",""義務的な"",""絶対にやらなければならないこと。"",""Attendance at the meeting is mandatory."",""会議への出席は義務です。"""
"800,""Lucrative"",""儲かる"",""利益がたくさん出るビジネスなど。"",""She started a lucrative business."",""彼女は儲かるビジネスを始めました。"""
"800,""Facilitate"",""促進する"",""物事をスムーズに進めること。"",""The new software will facilitate the process."",""新ソフトがプロセスを促進します。"""
"800,""Preliminary"",""予備の、事前の"",""本番前の一時的な段階。"",""We received the preliminary results."",""事前結果を受け取りました。"""
"800,""Feasibility"",""実現可能性"",""計画が本当に実行できるかどうかの度合い。"",""We are conducting a feasibility study."",""実現可能性の調査を行っています。"""
"800,""Fluctuate"",""変動する"",""価格や数値が上がったり下がったりする。"",""Oil prices fluctuate daily."",""原油価格は日々変動します。"""
"800,""Redundant"",""余分な、解雇された"",""不要になった人員やシステム。"",""The system makes manual entry redundant."",""そのシステムは手入力を不要にします。"""
"800,""Consecutive"",""連続した"",""3日間連続(three consecutive days)など。"",""It rained for five consecutive days."",""5日間連続で雨が降りました。"""
"800,""Allocate"",""割り当てる"",""予算や資源を特定の目的に振り分ける。"",""We need to allocate more funds to marketing."",""マーケティングにより多くの資金を割り当てる必要があります。"""
"800,""Retrieve"",""取り戻す、検索する"",""データを取り出したり、失ったものを回収する。"",""You can retrieve the deleted files."",""削除されたファイルを復元できます。"""
"800,""Incorporate"",""組み込む、法人化する"",""新しい要素を取り入れること。"",""We will incorporate your feedback."",""あなたのご意見を組み込みます。"""
"800,""Obsolete"",""時代遅れの"",""古くなって使われなくなった技術など。"",""Typewriters are now obsolete."",""タイプライターは今や時代遅れです。"""
"800,""Overhaul"",""徹底的に見直す"",""機械の分解修理やシステムの大幅な改修。"",""The entire system needs a major overhaul."",""システム全体の大規模な見直しが必要です。"""
"800,""Alleviate"",""軽減する"",""痛みや苦難を和らげる（mitigateと類義）。"",""This medicine will alleviate the pain."",""この薬は痛みを和らげます。"""
"800,""Endorse"",""承認する、支持する"",""計画や人を公にサポートすること。"",""The committee endorsed the new proposal."",""委員会は新しい提案を承認しました。"""
"800,""Terminate"",""終わらせる、打ち切る"",""契約などを終了させること。"",""They decided to terminate the contract."",""彼らは契約を打ち切ることを決定しました。"""
"800,""Diminish"",""減少する"",""徐々に少なくなること。"",""His influence has diminished over time."",""彼の影響力は時間とともに減少しました。"""
"800,""Abundant"",""豊富な"",""資源などがたっぷりとある状態。"",""The region has abundant natural resources."",""その地域には豊富な天然資源があります。"""
"800,""Verify"",""証明する、確認する"",""証拠を挙げて真実かどうか確かめること。"",""Please verify your email address."",""メールアドレスを確認してください。"""
"800,""Consensus"",""意見の一致"",""グループ全体の同意。"",""We have reached a consensus."",""私たちは意見の一致に達しました。"""
"800,""Inevitable"",""避けられない"",""必ず起こる運命にあること。"",""Some changes are inevitable."",""いくつかの変化は避けられません。"""
"800,""Rigorous"",""厳格な、精密な"",""検査や訓練が非常に厳しいこと。"",""The product underwent rigorous testing."",""その製品は厳格なテストを受けました。"""
"800,""Repercussion"",""影響、反響"",""ある行動が引き起こす（通常は悪い）結果。"",""Any delay will have serious repercussions."",""どんな遅れも深刻な影響をもたらします。"""
"800,""Unanimous"",""満場一致の"",""全員が賛成している状態。"",""The board made a unanimous decision."",""取締役会は満場一致の決定を下しました。"""
"800,""Acknowledge"",""認める、受領を知らせる"",""事実を認める、またはメールなどの受け取りを返信すること。"",""Please acknowledge receipt of this email."",""このメールを受け取ったことをお知らせください。"""
"800,""Adequate"",""十分な、適切な"",""要件や目的を満たすのに足りていること。"",""The budget is not adequate for the project."",""そのプロジェクトには予算が十分ではありません。"""
"800,""Anticipate"",""予期する、見込む"",""expectより準備や対策を含んだ「予想する」の意。"",""We anticipate a drop in sales this quarter."",""今四半期は売上の減少を見込んでいます。"""
"800,""Appraise"",""評価する、査定する"",""不動産の価値や従業員の業績を見極めること。"",""The manager will appraise your performance."",""マネージャーがあなたの業績を評価します。"""
"800,""Aptitude"",""才能、適性"",""特定の仕事や作業に対する生まれつきの能力。"",""He has an aptitude for learning languages."",""彼には言語を学ぶ適性があります。"""
"800,""Arbitrary"",""任意の、独断的な"",""論理的な理由なく、個人の裁量で決める様子。"",""The decision seemed completely arbitrary."",""その決定は完全に独断的なものに思えました。"""
"800,""Ascertain"",""確かめる、突き止める"",""事実などを調べて確実にすること。"",""We must ascertain the cause of the fire."",""火事の原因を突き止めなければなりません。"""
"800,""Assess"",""評価する、査定する"",""状況や価値、影響などを客観的に判断すること。"",""We need to assess the impact of the new tax."",""新税の影響を評価する必要があります。"""
"800,""Authoritative"",""権威ある、信頼できる"",""情報源などが正確で頼りになること。"",""This book is an authoritative guide to marketing."",""この本はマーケティングの権威あるガイドです。"""
"800,""Benchmark"",""基準、水準"",""品質や性能を比較するための標準となるもの。"",""This product sets a new benchmark in the industry."",""この製品は業界の新たな基準を打ち立てました。"""
"800,""Chronological"",""年代順の"",""出来事が起こった時間の順に並んでいる様子。"",""Please list the events in chronological order."",""出来事を年代順にリストアップしてください。"""
"800,""Coincide"",""同時に起こる、一致する"",""2つの出来事がたまたま同じ時期に発生すること。"",""My trip coincides with the festival."",""私の旅行は祭りと同時に起こります（重なります）。"""
"800,""Commence"",""始まる、開始する"",""beginやstartのフォーマルな表現。"",""The construction will commence next week."",""建設は来週開始されます。"""
"800,""Commend"",""褒める、推薦する"",""公式に称賛すること。"",""He was commended for his excellent work."",""彼は素晴らしい仕事ぶりを称賛されました。"""
"800,""Compatible"",""互換性のある、気が合う"",""システムが適合すること、人が仲良くやれること。"",""This software is compatible with Mac."",""このソフトウェアはMacと互換性があります。"""
"800,""Comprehensive"",""総合的な、包括的な"",""必要なものが全て含まれている幅広い様子。"",""We offer comprehensive training for new employees."",""新入社員向けに総合的な研修を提供しています。"""
"800,""Concise"",""簡潔な"",""無駄な言葉がなく、要点がまとまっていること。"",""Please write a concise summary of the report."",""レポートの簡潔な要約を書いてください。"""
"800,""Confidential"",""機密の、内密の"",""外部に漏らしてはいけない秘密の情報。"",""These documents are strictly confidential."",""これらの書類は厳秘（極秘）です。"""
"800,""Constraint"",""制約、制限"",""自由な行動を妨げる条件や制限。"",""We must work within budget constraints."",""予算の制約内で作業しなければなりません。"""
"800,""Contingency"",""不測の事態"",""将来起こるかもしれない緊急事態。"",""We need a contingency plan for the event."",""イベントのための緊急対策計画が必要です。"""
"800,""Credential"",""資格証明書、経歴"",""身分や能力を証明する文書や実績。"",""The doctor has excellent credentials."",""その医師は素晴らしい経歴（資格）を持っています。"""
"800,""Crucial"",""非常に重要な、決定的な"",""結果を左右するほど極めて重要なこと。"",""Timing is crucial for this project."",""このプロジェクトにおいてタイミングは非常に重要です。"""
"800,""Deficit"",""赤字、不足"",""収入より支出の方が多い状態。"",""The company reported a huge deficit."",""その会社は巨額の赤字を報告しました。"""
"800,""Deliberate"",""意図的な、慎重な"",""わざと行うこと、またはよく考えられたこと。"",""It was a deliberate decision."",""それは慎重な（意図的な）決定でした。"""
"800,""Deplete"",""使い果たす、枯渇させる"",""資源や資金などを激減させること。"",""Our supplies are severely depleted."",""私たちの物資は著しく枯渇しています。"""
"800,""Deter"",""思いとどまらせる、防ぐ"",""人が何かをするのをやめさせること。"",""The camera is installed to deter theft."",""カメラは盗難を防ぐために設置されています。"""
"800,""Devise"",""考案する、工夫する"",""新しい計画や方法を考え出すこと。"",""We must devise a new strategy."",""私たちは新しい戦略を考案しなければなりません。"""
"800,""Diligent"",""勤勉な、真面目な"",""一生懸命にコツコツと仕事をする様子。"",""She is a very diligent worker."",""彼女はとても勤勉な労働者です。"""
"800,""Distinctive"",""独特の、特徴的な"",""他とは明確に違って目立つこと。"",""The brand has a distinctive logo."",""そのブランドは独特なロゴを持っています。"""
"800,""Divert"",""そらす、迂回させる"",""方向や注意を別のほうへ向けること。"",""Traffic was diverted due to the accident."",""事故のため交通は迂回させられました。"""
"800,""Elaborate"",""詳しく述べる、精巧な"",""詳細に説明すること、または作りが細かいこと。"",""Could you elaborate on that point?"",""その点について詳しく説明していただけますか？"""
"800,""Eligible"",""資格のある、適格の"",""条件を満たいて選ばれる権利があること。"",""You are eligible for paid leave."",""あなたには有給休暇を取得する資格があります。"""
"800,""Encompass"",""網羅する、含む"",""全体を包み込むように広範囲に及ぶこと。"",""The course encompasses a wide range of topics."",""そのコースは幅広いトピックを網羅しています。"""
"800,""Endure"",""耐える、持ちこたえる"",""困難や痛みを我慢して長続きすること。"",""The company endured a tough financial year."",""会社は厳しい会計年度を耐え抜きました。"""
"800,""Entail"",""伴う、必要とする"",""ある事を行う結果として当然のこととして伴う。"",""This job entails a lot of travel."",""この仕事は多くの出張を伴います。"""
"800,""Entrepreneur"",""起業家"",""新しいビジネスを始める人。"",""He is a successful tech entrepreneur."",""彼は成功したIT起業家です。"""
"800,""Evacuate"",""避難させる、立ち退く"",""危険な場所から安全な場所へ移動すること。"",""The building was evacuated immediately."",""建物は直ちに避難させられました。"""
"800,""Exceedingly"",""極めて、非常に"",""通常をはるかに超えて程度が甚だしいこと。"",""The test was exceedingly difficult."",""そのテストは極めて難しかったです。"""
"800,""Exclusive"",""独占的な、高級な"",""限られた人しか利用できないこと。"",""We have exclusive rights to sell this product."",""当社はこの製品を販売する独占権を持っています。"""
"800,""Exempt"",""免除された"",""義務や税金などを免れていること。"",""Some items are exempt from tax."",""一部の品目は税金が免除されています。"""
"800,""Exert"",""行使する、努力する"",""権力や影響力、力を使うこと。"",""He exerted a lot of pressure on them."",""彼は彼らに多大な圧力をかけました。"""
"800,""Forfeit"",""没収される、罰金"",""規則違反などで権利や財産を失うこと。"",""If you cancel now, you forfeit your deposit."",""今キャンセルすると、頭金は没収されます。"""
"800,""Foster"",""促進する、育成する"",""成長や発展を助け育てること。"",""We aim to foster a good relationship."",""私たちは良好な関係を築く（育成する）ことを目指しています。"""
"800,""Fraud"",""詐欺、不正行為"",""人を騙してお金などを得る犯罪。"",""He was arrested for credit card fraud."",""彼はクレジットカード詐欺で逮捕されました。"""
"800,""Hierarchy"",""階層、ヒエラルキー"",""組織内の上下関係や序列。"",""There is a strict corporate hierarchy."",""厳格な企業の階層制度があります。"""
"800,""Impartial"",""公平な、偏りのない"",""どちらにも味方せず中立的な立場。"",""The judge gave an impartial decision."",""裁判官は公平な判決を下しました。"""
"800,""Imperative"",""必須の、急務の"",""絶対にやらなければならない重要なこと。"",""It is imperative that we act now."",""私たちが今行動することが急務です。"""
"800,""Imply"",""ほのめかす、暗示する"",""はっきり言わずに暗に意味すること。"",""What does the author imply?"",""著者は何をほのめかしていますか？"""
"800,""Infer"",""推測する、察する"",""事実や証拠から結論を導き出すこと。"",""I inferred from his tone that he was angry."",""彼の口調から、彼が怒っていると推測しました。"""
"800,""Initiative"",""主導権、新しい計画"",""自発的に率先して行動することや、新構想。"",""She took the initiative in the project."",""彼女はプロジェクトで主導権を握りました。"""
"800,""Integrate"",""統合する"",""別々のものを一つにまとめること。"",""We plan to integrate the two systems."",""2つのシステムを統合する計画です。"""
"800,""Intervene"",""介入する"",""問題や事態に割って入って調停すること。"",""The manager had to intervene in the dispute."",""マネージャーはその論争に介入せざるを得なかった。"""
"800,""Legitimate"",""合法的な、妥当な"",""法律や規則にかなっている、または正当な理由があること。"",""He has a legitimate reason for being late."",""彼には遅刻する正当な理由があります。"""
"800,""Liability"",""法的責任、負債"",""企業が負う借金や、法的な責任のこと。"",""The company accepted liability for the accident."",""その会社は事故の法的責任を認めました。"""
"800,""Marginal"",""わずかな、限界の"",""重要性が低いことや、利益などがごく僅かな様子。"",""There was only a marginal increase in profits."",""利益はごくわずかな増加にとどまりました。"""
"800,""Meticulous"",""細心の注意を払った"",""細部まで非常に気を配っている様子。"",""He is meticulous about his work."",""彼は仕事に対して細心の注意を払います。"""
"800,""Monopoly"",""独占"",""市場などを一つの企業が独り占めすること。"",""The company has a monopoly on the market."",""その会社は市場を独占しています。"""
"800,""Mutual"",""相互の、共通の"",""お互いに関係している、または両者に共通していること。"",""The agreement is of mutual benefit."",""その合意は相互の利益になります。"""
"800,""Norm"",""規範、標準"",""社会や集団で一般的とされる基準。"",""Working from home has become the norm."",""在宅勤務が標準（当たり前）になりました。"""
"800,""Obligation"",""義務"",""法律や契約でやらなければならないこと。"",""We have a legal obligation to protect data."",""我々にはデータを保護する法的義務があります。"""
"800,""Obscure"",""不明瞭な、無名の"",""意味が分かりにくい、またはあまり知られていないこと。"",""The reason for his resignation remains obscure."",""彼の辞任の理由は不明瞭なままです。"""
"800,""Offset"",""相殺する"",""マイナスをプラスで補って差し引きゼロにすること。"",""The gains offset the earlier losses."",""その利益が以前の損失を相殺しました。"""
"800,""Omission"",""省略、脱落"",""意図的、またはうっかりして抜かしてしまうこと。"",""There is a serious omission in the report."",""報告書には重大な記載漏れがあります。"""
"800,""Opt"",""選ぶ"",""選択肢の中から決めること（opt outで「辞退する」）。"",""Customers can opt to receive emails."",""顧客はメールの受け取りを選択できます。"""
"800,""Overhead"",""諸経費"",""家賃や光熱費など、事業にかかる固定費。"",""We need to reduce our overhead costs."",""私たちは諸経費を削減する必要があります。"""
"800,""Overlook"",""見落とす、大目に見る"",""うっかり見逃すことや、意図的に見逃してあげること。"",""He overlooked a spelling error."",""彼はスペルミスを見落としました。"""
"800,""Parallel"",""平行の、類似した"",""2つの物事が同時に似たように進むこと。"",""The two roads run parallel to each other."",""その2つの道は互いに平行に走っています。"""
"800,""Patron"",""愛顧者、顧客"",""お店や芸術の常連客、支援者。"",""The restaurant is popular with regular patrons."",""そのレストランは常連客に人気があります。"""
"800,""Pending"",""未定の、懸案中の"",""決定や解決を待っている状態。"",""The approval is still pending."",""承認はまだ保留中です。"""
"800,""Perceive"",""知覚する、認識する"",""状況を理解したり、感じ取ったりすること。"",""How do customers perceive our brand?"",""顧客は私たちのブランドをどう認識していますか？"""
"800,""Persist"",""固執する、持続する"",""困難があってもやり続ける、または状態が続くこと。"",""If the symptoms persist, consult a doctor."",""症状が持続する場合は、医師に相談してください。"""
"800,""Persuasive"",""説得力のある"",""人を納得させる力がある様子。"",""She gave a persuasive presentation."",""彼女は説得力のあるプレゼンをしました。"""
"800,""Plausible"",""もっともらしい"",""一見すると理にかなっていて本当らしいこと。"",""That is a plausible explanation."",""それはもっともらしい説明です。"""
"800,""Pledge"",""誓約する、約束する"",""公式に固く約束すること。"",""The company pledged to reduce emissions."",""会社は排出量の削減を誓約しました。"""
